Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-03-21,1819.26,"1,796.26",1823.75,1787.28,5770000.0,2019,3,1810.0966666666666,1810.0966666666666,0.012235223422190328,0.030876544818871476,Slight or no change
2019-03-20,1797.27,"1,769.94",1799.5,1767.03,6270000.0,2019,3,1787.9333333333334,1787.9333333333334,0.020103868093197533,-0.012087332211998314,Slight or no change
2019-03-19,1761.85,"1,753.51",1784.16,1753.51,6360000.0,2019,3,1766.506666666667,1766.506666666667,0.011307866716413522,-0.019707667740517576,Slight or no change
2019-03-18,1742.15,"1,712.70",1750.0,1712.63,5430000.0,2019,3,1734.926666666667,1734.926666666667,0.017397042677941666,-0.011181428611970246,Slight or no change
2019-03-15,1712.36,"1,703.00",1718.8,1693.13,7550000.0,2019,3,1708.0966666666666,1708.0966666666666,0.01550212902231018,-0.017099560887409382,Slight or no change
2019-03-14,1686.22,"1,691.20",1702.0,1684.34,2950000.0,2019,3,1690.8533333333335,1690.8533333333335,-0.0027146752148378105,-0.015265481557616312,Slight or no change
2019-03-13,1690.81,"1,683.00",1700.0,1679.35,3550000.0,2019,3,1690.0533333333333,1690.0533333333333,0.010585141354372146,0.002722064736511154,Slight or no change
2019-03-12,1673.1,"1,669.00",1684.27,1660.98,3610000.0,2019,3,1672.7833333333335,1672.7833333333335,0.001484478816247871,-0.010474269728709906,Slight or no change
2019-03-11,1670.62,"1,626.12",1672.29,1626.01,3880000.0,2019,3,1656.3066666666666,1656.3066666666666,0.03073790720631783,-0.0014822784053553084,Slight or no change
2019-03-08,1620.8,"1,604.01",1622.72,1586.57,4670000.0,2019,3,1610.03,1610.03,-0.003167379070697187,-0.02982126396188234,Slight or no change
2019-03-07,1625.95,"1,667.37",1669.75,1620.51,4960000.0,2019,3,1638.7366666666667,1638.7366666666667,-0.025764702357769856,0.0031774432379072515,Slight or no change
